Step,Column Name,Source Database Table,Inferred Type,AI Agent Definition & Usage
Step 1: User's Current Team Formation,formation,users,String,Formation the user has selected for thier team. Either 4-4-2 or 4-3-3.
Step 2: User's Current Squad,api_player_id,teamsheets,String/Int,Unique identifier for the player. Use this as the primary key to join with statistical and fixture tables.
Step 2: User's Current Squad,name,teamsheets,String,Full name of the player.
Step 2: User's Current Squad,position,players,String,"The player's designated field position (e.g., Goalkeeper, Defender, Midfielder, Striker). Use this to enforce valid lineup formation constraints."
Step 2: User's Current Squad,team,teams,String,The current real-world team the player plays for. Use this to map the player to upcoming fixtures (Step 2) and team statistics (Steps 4 & 5).
Step 3: Upcoming Fixtures,round,prem_fixtures,String,"The specific gameweek/round (e.g., 'Regular Season - 35')."
Step 3: Upcoming Fixtures,hteamid,prem_fixtures,String/Int,Unique identifier for the Home team.
Step 3: Upcoming Fixtures,hteamname,prem_fixtures,String,Name of the Home team.
Step 3: Upcoming Fixtures,ateamid,prem_fixtures,String/Int,Unique identifier for the Away team.
Step 3: Upcoming Fixtures,ateamname,prem_fixtures,String,Name of the Away team.
Step 4: General & Attacking Stats,api_player_id,player_statistics,String/Int,Unique player identifier.
Step 4: General & Attacking Stats,name,player_statistics,String,Player's name.
Step 4: General & Attacking Stats,injured,player_statistics,Boolean/String,"Current injury status. Constraint: If true/injured, the AI must exclude the player from the recommended starting lineup."
Step 4: General & Attacking Stats,team_id,player_statistics,String/Int,Unique identifier for the player's team.
Step 4: General & Attacking Stats,team_name,player_statistics,String,Name of the player's team.
Step 4: General & Attacking Stats,appearances,player_statistics,Integer,Total matches played.
Step 4: General & Attacking Stats,lineups,player_statistics,Integer,Total matches started. Compare with appearances to assess rotation risk (high lineups = guaranteed starter).
Step 4: General & Attacking Stats,position,player_statistics,String,Player's position.
Step 4: General & Attacking Stats,rating,player_statistics,Float,Average match rating. Use as a baseline form indicator.
Step 4: General & Attacking Stats,shots_total,player_statistics,Integer,Total shots taken. High volume indicates strong goal-scoring potential.
Step 4: General & Attacking Stats,shots_on,player_statistics,Integer,Shots on target. High ratio of shots_on to shots_total indicates clinical finishing.
Step 4: General & Attacking Stats,goals_total,player_statistics,Integer,Total goals scored. Highest weighted offensive metric.
Step 4: General & Attacking Stats,goals_assists,player_statistics,Integer,Total assists. Assists don't count towards fantasy points in our scoring system.
Step 4: General & Attacking Stats,passes_key,player_statistics,Integer,Passes leading to a shot.
Step 4: General & Attacking Stats,passes_accuracy,player_statistics,Float/Int,Pass completion percentage.
Step 4: General & Attacking Stats,dribbles_attempts,player_statistics,Integer,Total dribbles attempted.
Step 4: General & Attacking Stats,dribbles_success,player_statistics,Integer,Successful dribbles. High success indicates a highly involved attacking player.
Step 4: General & Attacking Stats,fouls_drawn,player_statistics,Integer,Times fouled. Indicates a player who wins free kicks/penalties.
Step 5: Team Defensive Stats,team_id,team_statistics,String/Int,Unique identifier for the team.
Step 5: Team Defensive Stats,name,team_statistics,String,Team name.
Step 5: Team Defensive Stats,played_home,team_statistics,Integer,Total home games played.
Step 5: Team Defensive Stats,played_away,team_statistics,Integer,Total away games played.
Step 5: Team Defensive Stats,played_total,team_statistics,Integer,Total games played overall.
Step 5: Team Defensive Stats,goals_against_home,team_statistics,Integer,Goals conceded at home.
Step 5: Team Defensive Stats,goals_against_away,team_statistics,Integer,Goals conceded away.
